Fallout Four,471592,http://store.steampowered.com/agecheck/app/377160/
CSGO,788407,http://store.steampowered.com/app/730/
L4D2,23097,http://store.steampowered.com/app/550/
GTA V,364548,http://store.steampowered.com/agecheck/app/271590/
H1Z1,26791,http://store.steampowered.com/app/295110/
Terraria,159175,http://store.steampowered.com/app/105600/
The Witcher - 3,92257,http://store.steampowered.com/app/292030/
Smite,20236,http://store.steampowered.com/app/292030/
Team Fortress 2,91981,http://store.steampowered.com/app/440/
Path of Exile,32302,http://store.steampowered.com/app/238960/
Skyrim,90957,http://store.steampowered.com/agecheck/app/72850/
Borderlands 2,21943,http://store.steampowered.com/agecheck/app/49520/
ARK,84885,http://store.steampowered.com/app/346110/
Football Manager,77123,http://store.steampowered.com/app/295270/
Binding of Isaac,70202,http://store.steampowered.com/app/113200/
Firebird,9855,http://www.kongregate.com/games/stronglime/the-firebird
Sid Meiers,66919,http://store.steampowered.com/app/8930/
Dying Light,9676,http://store.steampowered.com/app/239140/
Clicker Heroes,65862,http://store.steampowered.com/app/363970/
Garrys Mod,59028,http://store.steampowered.com/app/4000/
Starbound,9405,http://store.steampowered.com/app/211820/
Fallout 3,9006,http://store.steampowered.com/app/22300/
Trove,58949,http://store.steampowered.com/app/304050/
Warface ,5970,http://store.steampowered.com/app/291480/
PAYDAY 2,54250,http://store.steampowered.com/agecheck/app/218620/
Warframe,50223,http://store.steampowered.com/agecheck/app/230410/
Arma 3,47784,http://store.steampowered.com/app/107410/
Unturned,36818,http://store.steampowered.com/app/107410/
Warthunder,35264,http://store.steampowered.com/app/236390/
DayZ,45528,http://store.steampowered.com/agecheck/app/221100/
Spacewar,8715,http://store.steampowered.com/agecheck/app/221100/
Cities Skylines,60386,http://store.steampowered.com/app/255710/
TERA,25260,http://en.tera.gameforge.com/news/index
Block N Load,8640,http://store.steampowered.com/app/299360/
NeverWinter,9613,http://store.steampowered.com/app/109600/
Killing Floor 2,24250,http://store.steampowered.com/app/232090/
ArcheAge,6509,http://store.steampowered.com/agecheck/app/304030/
Dont Starve,16631,http://store.steampowered.com/app/219740/
Planet Base ,6670,http://store.steampowered.com/app/403190/
Dead Island,16367,http://store.steampowered.com/agecheck/app/268150/
DIRT Rally,2055,http://store.steampowered.com/app/310560/
Just Cause 2,5279,http://store.steampowered.com/app/8190/
NBA 2K15,8203,http://store.steampowered.com/app/282350/
BioShock Infinite,11227,http://store.steampowered.com/agecheck/app/8870/
Magic Duels,14586,http://store.steampowered.com/app/316010/
Portal 2,10216,http://store.steampowered.com/app/620/
Tomb Raider,9763,http://store.steampowered.com/agecheck/app/203160/
Transformice,5628,http://store.steampowered.com/app/335240/
Geometry Dash,3997,http://store.steampowered.com/app/322170/
